dataset,shots,model,hmm,flip_prob,nll,prob,acc,nll_avg
logiqa,1,meta-llama/Llama-3.1-8B-Instruct,0,0.5,5.062030120413143,0.006332690330424086,0.0,7.9575
logiqa,2,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.6285796591090231,0.19620805863744523,0.22,2.627705078125
logiqa,3,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.4992464352939578,0.2232983665312081,0.24,2.46994140625
logiqa,4,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.0295193133383074,0.3571786103047885,0.32,1.8105657958984376
logiqa,5,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.0689463148460374,0.343370130881105,0.34,1.71869140625
logiqa,6,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.0418572452370156,0.3527988391531946,0.48,1.622529296875
logiqa,7,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.1312457636097162,0.32263108390462947,0.34,1.62697265625
logiqa,8,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.1274877196581377,0.32384582679703816,0.36,1.814853515625
logiqa,9,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.1370477810127657,0.3207645926843561,0.36,1.8786126708984374
logiqa,10,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.1431523406370994,0.31881243070990206,0.38,1.508544921875
logiqa,11,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.0422415541364358,0.35266328146928344,0.44,1.7453704833984376
logiqa,12,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.2095731074099667,0.298324604814042,0.28,1.79228515625
logiqa,13,meta-llama/Llama-3.1-8B-Instruct,0,0.5,0.9961563580956942,0.3692961589409882,0.38,1.4561517333984375
logiqa,14,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.2409091967658492,0.2891212303158772,0.3,1.9111322021484376
logiqa,15,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.3775326006276605,0.2522000642665346,0.2,1.902275390625
logiqa,16,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.2208924322917218,0.2949668115204727,0.28,2.050986328125
logiqa,17,meta-llama/Llama-3.1-8B-Instruct,0,0.5,0.9773602606453038,0.37630313110652586,0.46,1.4400140380859374
logiqa,18,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.0691263807117801,0.3433083072075514,0.36,1.4925390625
logiqa,19,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.155187730385727,0.3149983965818757,0.38,1.62095703125
logiqa,20,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.1860149043389017,0.3054360337852727,0.32,1.7197210693359375
logiqa,21,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.1888811098389624,0.304561844746501,0.3,1.658134765625
logiqa,22,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.4091584181087808,0.24434883620213146,0.22,1.9351171875
logiqa,23,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.2072527072609072,0.29901764102122275,0.32,1.687802734375
logiqa,24,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.4025505685529318,0.24596880290455872,0.16,1.9649462890625
logiqa,25,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.205485678250721,0.29954648096762443,0.34,1.701708984375
logiqa,26,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.4276112354451151,0.23988125823068254,0.26,1.85265380859375
logiqa,27,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.2507669580650433,0.28628514393862153,0.28,1.7152587890625
logiqa,28,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.1782996274024764,0.30780167141236664,0.3,1.6632318115234375
logiqa,29,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.357338594809324,0.2573447650586012,0.28,1.98158203125
logiqa,30,meta-llama/Llama-3.1-8B-Instruct,0,0.5,0.962852974007221,0.38180205931382566,0.52,1.4634613037109374
logiqa,31,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.3412663085976957,0.261514301010015,0.24,1.9051953125
logiqa,32,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.279804454419679,0.2780916747346141,0.24,1.91654296875
logiqa,33,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.279048226107049,0.27830205507031214,0.28,1.75828125
logiqa,34,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.1923005689257657,0.3035221865263971,0.32,1.6157708740234376
logiqa,35,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.3360114889474153,0.2628921284446217,0.28,1.85740234375
logiqa,36,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.0100728364030236,0.36419245213723156,0.40816326530612246,1.5098802216198979
logiqa,37,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.412335422422631,0.2435737707405081,0.22727272727272727,1.9157492897727273
logiqa,38,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.1726826343712269,0.30953545602524646,0.3783783783783784,1.7364864864864864
logiqa,39,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.5435876103493862,0.21361336356439575,0.25,2.0889369419642856
logiqa,40,meta-llama/Llama-3.1-8B-Instruct,0,0.5,1.4065427876165355,0.2449887990571652,0.3076923076923077,1.8707932692307692
logiqa,41,meta-llama/Llama-3.1-8B-Instruct,0,0.5,5.125,0.005946217356472094,0.0,5.125
