dataset,shots,model,hmm,flip_prob,nll,prob,acc,nll_avg
creak,1,Qwen/Qwen2-1.5B-Instruct,0,0.25,8.855915579678115,0.00014253605400754067,0.0,10.998125
creak,2,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.5149926072594035,0.21980980983865983,0.32,3.03328125
creak,3,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.1584114621988222,0.3139845612743267,0.28,2.5143994140625
creak,4,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.0757175694995613,0.3410529382886363,0.32,2.4822210693359374
creak,5,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.2221261003180532,0.2946031447644188,0.34,2.3609466552734375
creak,6,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.0944054985867142,0.33473855034794525,0.38,2.353173828125
creak,7,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.2659798212463462,0.28196288751924475,0.26,2.76523193359375
creak,8,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.0842337101970712,0.338160815820956,0.36,1.8286004638671876
creak,9,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.3020659474897116,0.271969337861806,0.24,2.26025390625
creak,10,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.1292060960792794,0.3232898156192505,0.26,1.875625
creak,11,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.0979102199551116,0.33356743840697406,0.3,1.7777099609375
creak,12,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.1707880296368256,0.31012245925966175,0.36,1.9054736328125
creak,13,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.0886259268292926,0.3366787973170402,0.4,1.6810589599609376
creak,14,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.1155747605496844,0.32772686028661807,0.32,1.54531005859375
creak,15,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.0227921406419682,0.3595895126860043,0.4,1.51739013671875
creak,16,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.0674703758273818,0.34387729843723824,0.38,1.6117572021484374
creak,17,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.0517671355024345,0.3493199077565366,0.5,1.626845703125
creak,18,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.1084986270626687,0.33005412359939607,0.4,1.8313330078125
creak,19,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.1308843307345409,0.322747714460695,0.34,1.66755859375
creak,20,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.2282007749831667,0.29281895118905105,0.3,1.8191796875
creak,21,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.077977410048843,0.340283083231707,0.4,1.523125
creak,22,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.2534534313608336,0.2855170786997618,0.28,2.12572265625
creak,23,Qwen/Qwen2-1.5B-Instruct,0,0.25,0.8748001721081354,0.41694532866055106,0.46,1.221806640625
creak,24,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.037543645332067,0.35432395920624643,0.4,1.592353515625
creak,25,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.2496496316301517,0.28660519666625084,0.28,1.83326171875
creak,26,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.0896877458046106,0.33632149511016357,0.4,1.5630078125
creak,27,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.0397384322849859,0.35354714638462825,0.46,1.4834765625
creak,28,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.2463215646905637,0.28756062693206597,0.32,1.842724609375
creak,29,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.1078031920562537,0.33028373462147614,0.36,1.71177734375
creak,30,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.05415445508347,0.3484869641475969,0.42,1.4466015625
creak,31,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.1611090025098445,0.3131387166261829,0.32,1.815185546875
creak,32,Qwen/Qwen2-1.5B-Instruct,0,0.25,0.8745297199953477,0.4170581076555756,0.56,1.12818359375
creak,33,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.0964117506383302,0.33406765366351204,0.44,1.635009765625
creak,34,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.1540495838432467,0.315357115016182,0.36,1.678271484375
creak,35,Qwen/Qwen2-1.5B-Instruct,0,0.25,0.9163485655539724,0.3999768671970071,0.48,1.3454296875
creak,36,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.2866489113996034,0.27619478721813945,0.3,1.8669921875
creak,37,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.2501883402568925,0.2864508415542861,0.26,1.813984375
creak,38,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.0762378351923445,0.34087554629490735,0.46,1.505869140625
creak,39,Qwen/Qwen2-1.5B-Instruct,0,0.25,1.021968206256166,0.3598859129406931,0.38,1.4600390625
creak,40,Qwen/Qwen2-1.5B-Instruct,0,0.25,0.9642303281747989,0.38127654464922633,0.52,1.405390625
