dataset,shots,model,hmm,flip_prob,nll,prob,acc,nll_avg
creak,1,meta-llama/Llama-3.1-8B-Instruct,0,0.75,11.758605107121795,7.821727599753888e-06,0.0,14.895
creak,2,meta-llama/Llama-3.1-8B-Instruct,0,0.75,4.687971854352781,0.009205337000706172,0.0,7.8809375
creak,3,meta-llama/Llama-3.1-8B-Instruct,0,0.75,2.543818357233592,0.0785658339016988,0.06,6.67427734375
creak,4,meta-llama/Llama-3.1-8B-Instruct,0,0.75,2.6811801137829563,0.06848228955515628,0.04,6.06644287109375
creak,5,meta-llama/Llama-3.1-8B-Instruct,0,0.75,2.1253859013937593,0.11938688780963286,0.12,5.233564453125
creak,6,meta-llama/Llama-3.1-8B-Instruct,0,0.75,2.495351617989202,0.08246744925452573,0.06,4.9990234375
creak,7,meta-llama/Llama-3.1-8B-Instruct,0,0.75,2.1104639777812833,0.12118172775846534,0.08,5.02046875
creak,8,meta-llama/Llama-3.1-8B-Instruct,0,0.75,1.716283955244079,0.17973280362548444,0.16,4.77982421875
creak,9,meta-llama/Llama-3.1-8B-Instruct,0,0.75,2.159002536502891,0.11544021102608641,0.08,3.4725
creak,10,meta-llama/Llama-3.1-8B-Instruct,0,0.75,1.9495390878318357,0.14233966255199795,0.18,4.48453125
creak,11,meta-llama/Llama-3.1-8B-Instruct,0,0.75,1.8933849966985516,0.1505612957921635,0.12,3.964873046875
creak,12,meta-llama/Llama-3.1-8B-Instruct,0,0.75,2.1339383359295963,0.11837019307189468,0.12,4.39583984375
creak,13,meta-llama/Llama-3.1-8B-Instruct,0,0.75,1.991610396793566,0.13647546872702424,0.08,4.36751953125
creak,14,meta-llama/Llama-3.1-8B-Instruct,0,0.75,2.0746612059650458,0.12559897246846707,0.08,3.632802734375
creak,15,meta-llama/Llama-3.1-8B-Instruct,0,0.75,2.7223994107236433,0.06571688330878209,0.04,4.68900390625
creak,16,meta-llama/Llama-3.1-8B-Instruct,0,0.75,2.1397983324184056,0.11767857258209535,0.08,3.9276953125
creak,17,meta-llama/Llama-3.1-8B-Instruct,0,0.75,2.1736625617484044,0.11376019921427495,0.1,4.1098046875
creak,18,meta-llama/Llama-3.1-8B-Instruct,0,0.75,1.974403342918439,0.13884412986695568,0.14,3.9488671875
creak,19,meta-llama/Llama-3.1-8B-Instruct,0,0.75,2.183471470728892,0.11264979062608742,0.1,4.10984375
creak,20,meta-llama/Llama-3.1-8B-Instruct,0,0.75,2.15800865756554,0.11555500165489352,0.1,3.9255859375
creak,21,meta-llama/Llama-3.1-8B-Instruct,0,0.75,2.0577103203503384,0.12774613300828316,0.08,3.5126953125
creak,22,meta-llama/Llama-3.1-8B-Instruct,0,0.75,2.4443069891778966,0.0867862578823091,0.06,4.21517578125
creak,23,meta-llama/Llama-3.1-8B-Instruct,0,0.75,2.247918416947947,0.10561885030672302,0.06,3.565546875
creak,24,meta-llama/Llama-3.1-8B-Instruct,0,0.75,2.5106174238881733,0.08121807777567154,0.02,3.987734375
creak,25,meta-llama/Llama-3.1-8B-Instruct,0,0.75,2.0814860613651986,0.12474469611517096,0.1,3.4422265625
creak,26,meta-llama/Llama-3.1-8B-Instruct,0,0.75,1.9917406215138336,0.13645769740444375,0.06,3.55939453125
creak,27,meta-llama/Llama-3.1-8B-Instruct,0,0.75,2.158592621657923,0.11548754138233729,0.06,3.541484375
